openTime,open,high,low,close,volume,closeTime
1733356800000,2.3203,2.3993,2.225,2.3482,838654.03014862,1733443199999
1733443200000,2.3573,2.497,2.2308,2.3267,400810.73256995,1733529599999
1733529600000,2.3168,2.4336,2.29,2.3953,164897.00085549,1733615999999
1733616000000,2.3833,2.4241,2.2957,2.3428,124448.71742414,1733702399999
1733702400000,2.3376,2.3378,1.4673,1.7513,356423.59786458,1733788799999
1733788800000,1.7495,1.7807,1.4648,1.5776,381886.34805625,1733875199999
1733875200000,1.5788,1.8334,1.55,1.769,517279.75310065,1733961599999
1733961600000,1.7739,1.9421,1.6529,1.6907,336269.20986277,1734047999999
1734048000000,1.7196,1.7589,1.66,1.6982,78311.87860055,1734134399999
1734134400000,1.6931,1.7455,1.5646,1.6133,93025.56125609,1734220799999
1734220800000,1.6039,1.6553,1.5633,1.6359,50425.39903053,1734307199999
1734307200000,1.6375,1.6706,1.4945,1.531,121229.69111164,1734393599999
1734393600000,1.5166,1.5704,1.3909,1.4124,61366.25219685,1734479999999
1734480000000,1.412,1.419,1.25,1.3005,104482.60441592,1734566399999
1734566400000,1.282,1.3113,1.1,1.1612,84491.51781114,1734652799999
1734652800000,1.1594,1.2399,1.0233,1.2224,215633.73832041,1734739199999
1734739200000,1.2697,1.3018,1.1359,1.1423,50988.31107859,1734825599999
1734825600000,1.1426,1.2402,1.1229,1.159,75560.15494946,1734911999999
1734912000000,1.1264,1.2717,1.1264,1.2572,136445.26424133,1734998399999
1734998400000,1.2486,1.377,1.2182,1.3467,259243.97415652,1735084799999
1735084800000,1.3333,1.368,1.2544,1.2664,101524.46321034,1735171199999
1735171200000,1.2747,1.4157,1.1692,1.3152,554770.23122277,1735257599999
1735257600000,1.3165,1.5481,1.3165,1.3362,790228.6270508,1735343999999
1735344000000,1.3446,1.3958,1.2788,1.3925,94533.47940984,1735430399999
1735430400000,1.3839,1.7483,1.3839,1.5891,1343711.80196711,1735516799999
1735516800000,1.5861,1.6562,1.394,1.4169,376549.96578751,1735603199999
1735603200000,1.4157,1.6765,1.3641,1.6305,860667.48449812,1735689599999
1735689600000,1.6162,1.6909,1.5077,1.5383,313990.55958724,1735775999999
1735776000000,1.5397,1.6102,1.5156,1.5623,124001.16009668,1735862399999
1735862400000,1.5793,1.5793,1.4411,1.5109,106314.24870344,1735948799999
1735948800000,1.5284,1.537,1.4612,1.4786,56434.46210258,1736035199999
1736035200000,1.4752,1.5862,1.4638,1.5521,88503.59029755,1736121599999
1736121600000,1.5111,1.5544,1.4799,1.4891,95765.71099975,1736207999999
1736208000000,1.5224,1.5324,1.2343,1.244,196400.27883107,1736294399999
1736294400000,1.2547,1.2664,1.1167,1.1995,154862.78994724,1736380799999
1736380800000,1.2059,1.215,1.1056,1.1423,94573.9274604,1736467199999
1736467200000,1.1466,1.192,1.1129,1.1496,107274.47366021,1736553599999
1736553600000,1.1591,1.1639,1.12,1.1481,22789.58303949,1736639999999
1736640000000,1.1306,1.1314,1.0697,1.0916,29366.02976606,1736726399999
1736726400000,1.1042,1.1069,0.93824,1.0122,72538.41524265,1736812799999
1736812800000,1.0197,1.051,1.0075,1.0471,40489.42330932,1736899199999
1736899200000,1.0298,1.1095,0.99292,1.1034,69804.29003853,1736985599999
1736985600000,1.1054,1.1054,1.031,1.0518,25787.30585824,1737071999999
1737072000000,1.0556,1.1117,1.0556,1.0951,73296.35397398,1737158399999
1737158400000,1.0975,1.1114,0.95936,0.98038,87928.76445904,1737244799999
1737244800000,0.98703,1.0441,0.83221,0.83888,194834.28918717,1737331199999
1737331200000,0.83032,0.85361,0.72302,0.75891,264823.01135428,1737417599999
1737417600000,0.76,0.81651,0.73295,0.79649,47295.37654086,1737503999999
1737504000000,0.79484,0.82536,0.79484,0.79867,13844.90203662,1737590399999
1737590400000,0.80646,0.81167,0.76329,0.79062,34373.5386603,1737676799999
1737676800000,0.75707,0.78912,0.73208,0.73208,81682.98746049,1737763199999
1737763200000,0.73204,0.75037,0.70948,0.73672,38676.92615836,1737849599999
1737849600000,0.72875,0.75668,0.72154,0.72154,16413.67629826,1737935999999
1737936000000,0.71581,0.71581,0.5834,0.66006,90105.74366717,1738022399999
1738022400000,0.67,0.67871,0.61278,0.62216,101021.53730284,1738108799999
1738108800000,0.61944,0.65279,0.6112,0.64295,84675.3029078,1738195199999
1738195200000,0.64537,0.68682,0.64537,0.66718,105425.63187751,1738281599999
1738281600000,0.66466,0.70913,0.66422,0.67653,37322.76400058,1738367999999
1738368000000,0.67249,0.68372,0.59568,0.59746,41606.78660832,1738454399999
1738454400000,0.6046,0.60918,0.4582,0.48025,126197.79867166,1738540799999
1738540800000,0.47693,0.52339,0.36241,0.52205,216930.13038245,1738627199999
1738627200000,0.52368,0.52368,0.47346,0.48931,242734.77356848,1738713599999
1738713600000,0.49811,0.51004,0.48054,0.48054,145635.57692022,1738799999999
1738800000000,0.48761,0.49363,0.43361,0.43943,89359.4752926,1738886399999
1738886400000,0.43996,0.49872,0.43996,0.45208,65076.75459097,1738972799999
1738972800000,0.45151,0.5773,0.44948,0.52784,1733598.60682287,1739059199999
1739059200000,0.52412,0.6,0.46868,0.49139,730192.16701627,1739145599999
1739145600000,0.48864,0.5043,0.46202,0.49833,515244.87640299,1739231999999
1739232000000,0.50498,0.55302,0.48618,0.49622,439687.10215551,1739318399999
1739318400000,0.49569,0.76669,0.44968,0.7007,4733034.57667074,1739404799999
1739404800000,0.70103,0.84545,0.62681,0.67863,5181715.86329599,1739491199999
1739491200000,0.66863,0.83826,0.63244,0.65155,2445106.9766542,1739577599999
1739577600000,0.64766,0.68017,0.61423,0.64229,685227.33178558,1739663999999
1739664000000,0.64069,0.68862,0.62744,0.66741,705306.62573674,1739750399999
1739750400000,0.67389,0.73479,0.63307,0.65357,865877.00042224,1739836799999
1739836800000,0.6605,0.72581,0.63203,0.687,638526.68342345,1739923199999
1739923200000,0.68508,0.75956,0.68449,0.69844,650929.89349765,1740009599999
1740009600000,0.69535,0.70462,0.6442,0.66796,345638.41729704,1740095999999
1740096000000,0.6667,0.68924,0.62021,0.62021,271747.27948735,1740182399999
1740182400000,0.61789,0.65621,0.60777,0.64528,248925.91238919,1740268799999
1740268800000,0.63718,0.63912,0.59636,0.6013,198907.05201944,1740355199999
1740355200000,0.59019,0.59019,0.47642,0.48988,227404.56584681,1740441599999
1740441600000,0.48269,0.53779,0.46789,0.52307,294765.56504807,1740527999999
1740528000000,0.5249,0.53901,0.50868,0.53205,147636.44627089,1740614399999
1740614400000,0.529,0.6232,0.52341,0.57677,1076937.56579027,1740700799999
1740700800000,0.57261,0.57501,0.53127,0.56739,67485.93884431,1740787199999
1740787200000,0.56811,0.57621,0.55271,0.57167,47535.81155665,1740873599999
1740873600000,0.56464,0.61429,0.55939,0.58262,172094.38041933,1740959999999
1740960000000,0.58297,0.58297,0.461,0.46853,370687.51015993,1741046399999
1741046400000,0.46624,0.46625,0.38534,0.41055,320710.70351065,1741132799999
1741132800000,0.40875,0.41213,0.38959,0.39706,241653.52601743,1741219199999
1741219200000,0.39522,0.39855,0.36939,0.37839,89952.74929711,1741305599999
1741305600000,0.37951,0.39129,0.36647,0.36974,186160.69223064,1741391999999
1741392000000,0.37009,0.37219,0.34853,0.35546,99178.30237521,1741478399999
1741478400000,0.35597,0.35612,0.3,0.30297,158856.04342743,1741564799999
1741564800000,0.32063,0.33409,0.29247,0.30475,347654.56330934,1741651199999
1741651200000,0.28998,0.31981,0.27415,0.3063,733860.79710093,1741737599999
1741737600000,0.30692,0.32049,0.30214,0.3154,83828.50893142,1741823999999
1741824000000,0.32139,0.33526,0.31155,0.32121,171731.53662224,1741910399999
1741910400000,0.322,0.3314,0.3173,0.32476,184069.59648058,1741996799999
